experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,jackpot_share,class11_share,class12_share,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,1,350426,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22688187500.0,12300687500.0,153,95,16,807000000.0,0.0,120000000.0,0.0,52806000.0,22688187.5,24999138.27257039,24999138.27257039,6.776,30,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,2,350427,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22655600000.0,12268100000.0,169,72,20,588000000.0,0.0,120000000.0,36000000.0,49845000.0,22655600.0,25101228.030516755,25101228.030516755,5.935714285714286,22,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,3,350428,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22643900000.0,12256400000.0,172,98,16,834000000.0,0.0,120000000.0,0.0,50763000.0,22643900.0,24147424.454587284,24147424.454587284,6.043795620437956,42,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,4,350429,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22618737500.0,12231237500.0,172,64,13,537000000.0,0.0,120000000.0,45000000.0,46530000.0,22618737.5,23920770.740349144,23920770.740349144,5.671232876712328,33,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,5,350430,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22566750000.0,12179250000.0,157,102,15,873000000.0,0.0,120000000.0,63000000.0,51606000.0,22566750.0,24210305.800164938,24210305.800164938,6.291044776119403,33,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,6,350431,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22502000000.0,12114500000.0,192,70,14,588000000.0,0.0,120000000.0,120000000.0,46221000.0,22502000.0,23262418.103026178,23262418.103026178,5.281045751633987,29,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,7,350432,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22653400000.0,12265900000.0,144,142,18,1224000000.0,0.0,120000000.0,9000000.0,56172000.0,22653400.0,24252865.98404403,24252865.98404403,7.016393442622951,41,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,8,350433,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22584750000.0,12197250000.0,176,85,13,726000000.0,0.0,120000000.0,45000000.0,47349000.0,22584750.0,23216041.43555701,23216041.43555701,5.722222222222222,28,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,9,350434,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22584000000.0,12196500000.0,162,128,15,1107000000.0,0.0,120000000.0,99000000.0,52602000.0,22584000.0,23270328.6182211,23270328.6182211,6.161764705882353,35,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,10,350435,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22666700000.0,12279200000.0,158,74,11,633000000.0,0.0,120000000.0,27000000.0,49104000.0,22666700.0,24351155.12886401,24351155.12886401,6.378787878787879,27,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,11,350436,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22650350000.0,12262850000.0,170,89,19,744000000.0,0.0,120000000.0,18000000.0,49962000.0,22650350.0,24408772.344743192,24408772.344743192,5.886524822695035,27,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,12,350437,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22623850000.0,12236350000.0,160,104,14,894000000.0,0.0,120000000.0,36000000.0,51021000.0,22623850.0,23887464.467320513,23887464.467320513,6.176470588235294,33,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,13,350438,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22597650000.0,12210150000.0,155,95,16,807000000.0,0.0,120000000.0,63000000.0,50907000.0,22597650.0,24257274.001369156,24257274.001369156,6.401515151515151,41,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,14,350439,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22651650000.0,12264150000.0,174,88,20,732000000.0,0.0,120000000.0,9000000.0,50505000.0,22651650.0,24766943.286919765,24766943.286919765,6.073529411764706,24,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,15,350440,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22622500000.0,12235000000.0,170,94,18,792000000.0,0.0,120000000.0,45000000.0,50367000.0,22622500.0,24294814.647368684,24294814.647368684,6.0583941605839415,26,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,16,350441,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22628675000.0,12241175000.0,168,87,14,741000000.0,0.0,120000000.0,45000000.0,50367000.0,22628675.0,24392895.595990136,24392895.595990136,5.985611510791367,25,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,17,350442,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22545800000.0,12158300000.0,165,99,17,840000000.0,0.0,120000000.0,117000000.0,51168000.0,22545800.0,24073521.39509299,24073521.39509299,6.139705882352941,42,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,18,350443,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22623837500.0,12236337500.0,149,122,17,1047000000.0,0.0,120000000.0,18000000.0,55386000.0,22623837.5,24855631.065813713,24855631.065813713,7.151260504201681,34,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,19,350444,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22632437500.0,12244937500.0,144,153,17,1326000000.0,0.0,120000000.0,18000000.0,56793000.0,22632437.5,24065628.53355058,24065628.53355058,6.6875,33,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,20,350445,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22698000000.0,12310500000.0,151,123,15,1062000000.0,0.0,120000000.0,0.0,53388000.0,22698000.0,24003088.259638593,24003088.259638593,6.6328125,33,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,21,350446,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22613537500.0,12226037500.0,174,84,19,699000000.0,0.0,120000000.0,18000000.0,48867000.0,22613537.5,24209876.820057217,24209876.820057217,5.736111111111111,23,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,22,350447,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22678250000.0,12290750000.0,171,82,13,699000000.0,0.0,120000000.0,9000000.0,47565000.0,22678250.0,23482291.507378493,23482291.507378493,5.526666666666666,30,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,23,350448,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22642650000.0,12255150000.0,157,66,16,546000000.0,0.0,120000000.0,27000000.0,49425000.0,22642650.0,25082442.633792665,25082442.633792665,6.386363636363637,25,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,24,350449,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22635400000.0,12247900000.0,165,84,12,720000000.0,0.0,120000000.0,45000000.0,48330000.0,22635400.0,23568744.27796271,23568744.27796271,5.964285714285714,30,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,25,350450,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22694100000.0,12306600000.0,170,77,11,660000000.0,0.0,120000000.0,0.0,48060000.0,22694100.0,23835827.239472937,23835827.239472937,5.928571428571429,32,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,26,350451,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22563387500.0,12175887500.0,173,52,11,435000000.0,0.0,120000000.0,108000000.0,44466000.0,22563387.5,23342030.88703067,23342030.88703067,5.47682119205298,31,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,27,350452,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22641850000.0,12254350000.0,160,119,22,1005000000.0,0.0,120000000.0,36000000.0,52896000.0,22641850.0,24364633.715233643,24364633.715233643,6.268656716417911,32,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,28,350453,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22654337500.0,12266837500.0,174,81,15,684000000.0,0.0,120000000.0,36000000.0,47511000.0,22654337.5,23663018.855216756,23663018.855216756,5.657534246575342,30,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,29,350454,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22614850000.0,12227350000.0,170,76,12,648000000.0,0.0,120000000.0,81000000.0,48009000.0,22614850.0,23826697.357743476,23826697.357743476,5.763888888888889,32,14
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,30,350455,1000,25000000,0.5,120000000.0,0.36,0.0675,0.203,50000000000.0,25000000000.0,22646050000.0,12258550000.0,150,111,17,948000000.0,0.0,120000000.0,0.0,54480000.0,22646050.0,25066153.2129982,25066153.2129982,6.854838709677419,45,14
