experiment,scenario,label_cs,description,jackpot_share,draws,repetitions,mean_average_jackpot_available,mean_max_jackpot_fund_observed,mean_payout_std_dev,mean_upper_tier_payout_std_dev,mean_average_rollover_length,mean_average_time_to_cap,mean_jackpot_hits,mean_jackpot_cap_hits,mean_overflow_to_class2,mean_overflow_to_class3
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,0.36,1000,200,50529450.0,120000000.0,24040091.890403032,24040091.890403032,6.108665137161511,14.0,163.85,97.15,827055000.0,0.0
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,0.41,1000,200,55993103.75,120000000.0,26094171.249596473,26094171.249596473,6.119882439594102,12.0,163.815,138.84,1258063750.0,0.0
h3_prize_structure,structure_flatter,Nižší skewness,Plošší rozdělení s menším podílem jackpotu.,0.31,1000,200,44638708.75,120000000.0,21761922.482053164,21761922.482053164,6.102795643979024,16.0,163.85,67.08,477945000.0,0.0
