experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,jackpot_share,class11_share,class12_share,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,140,360565,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8769510000.0,5114510000.0,80,95,10,378499999.99999994,0.0,120000000.0,28699999.999999996,49580499.99999999,8769510.0,17022909.29335817,17022909.29335817,13.333333333333334,57,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,141,360566,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8621495000.0,4966495000.0,62,210,9,851100000.0,0.0,120000000.0,36899999.99999999,59113499.99999999,8621495.0,15943571.779559778,15943571.779559778,15.898305084745763,84,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,142,360567,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8691895000.0,5036895000.0,78,73,6,292699999.99999994,0.0,120000000.0,94299999.99999999,45062999.99999999,8691895.0,16214453.448512377,16214453.448512377,12.131578947368421,49,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,143,360568,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8711500000.0,5056500000.0,71,110,9,441099999.99999994,0.0,120000000.0,81999999.99999999,50803499.99999999,8711500.0,16692885.707689967,16692885.707689967,14.075757575757576,61,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,144,360569,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8784480000.0,5129480000.0,74,63,7,250599999.99999994,0.0,120000000.0,8199999.999999999,45928299.99999999,8784480.0,16992335.39362968,16992335.39362968,12.86111111111111,51,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,145,360570,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8708130000.0,5053130000.0,69,122,10,489199999.99999994,0.0,120000000.0,77899999.99999999,52500699.99999999,8708130.0,16828802.97445721,16828802.97445721,14.777777777777779,65,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,146,360571,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8680525000.0,5025525000.0,64,117,8,470900000.0,0.0,120000000.0,24599999.999999996,53218999.99999999,8680525.0,17104586.270920876,17104586.270920876,16.42105263157895,62,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,147,360572,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8744830000.0,5089830000.0,67,121,8,487299999.99999994,0.0,120000000.0,24599999.999999996,52202499.99999999,8744830.0,16878443.70257815,16878443.70257815,15.295081967213115,78,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,148,360573,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8739470000.0,5084470000.0,82,83,7,332599999.99999994,0.0,120000000.0,61499999.99999999,47422199.99999999,8739470.0,16681688.124080846,16681688.124080846,12.24,51,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,149,360574,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8715250000.0,5060250000.0,70,140,11,561900000.0,0.0,120000000.0,57399999.99999999,51883899.99999999,8715250.0,16244287.39241891,16244287.39241891,14.090909090909092,66,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,150,360575,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8683180000.0,5028180000.0,75,105,10,419499999.99999994,0.0,120000000.0,120000000.0,49894899.99999999,8683180.0,16320425.986707576,16320425.986707576,13.028169014084508,50,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,151,360576,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8624760000.0,4969760000.0,63,124,10,497399999.99999994,0.0,120000000.0,120000000.0,54401199.99999999,8624760.0,16935764.335937127,16935764.335937127,15.88135593220339,60,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,152,360577,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8794995000.0,5139995000.0,76,80,10,316999999.99999994,0.0,120000000.0,4099999.9999999995,48920299.99999999,8794995.0,17354981.903619923,17354981.903619923,12.657534246575343,50,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,153,360578,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8727330000.0,5072330000.0,67,126,11,504499999.99999994,0.0,120000000.0,45099999.99999999,53873399.99999999,8727330.0,17172532.589024253,17172532.58902425,14.80952380952381,63,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,154,360579,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8733805000.0,5078805000.0,68,105,9,420600000.0,0.0,120000000.0,32799999.999999996,51359699.99999999,8733805.0,17176505.20906319,17176505.20906319,14.5625,62,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,155,360580,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8692255000.0,5037255000.0,68,95,10,378499999.9999999,0.0,120000000.0,94299999.99999999,51409099.99999999,8692255.0,17250305.250631798,17250305.250631798,14.793650793650794,61,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,156,360581,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8768285000.0,5113285000.0,78,70,9,277099999.99999994,0.0,120000000.0,32799999.999999996,47032599.99999999,8768285.0,17100856.6900543,17100856.6900543,12.45945945945946,51,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,157,360582,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8720535000.0,5065535000.0,79,138,10,554800000.0,0.0,120000000.0,16399999.999999998,52727399.99999999,8720535.0,16527882.55460375,16527882.55460375,13.157142857142857,76,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,158,360583,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8772160000.0,5117160000.0,81,66,6,263999999.99999994,0.0,120000000.0,49199999.99999999,44382899.99999999,8772160.0,16443651.417322125,16443651.417322125,12.092105263157896,62,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,159,360584,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8691420000.0,5036420000.0,69,121,9,486199999.99999994,0.0,120000000.0,32799999.999999996,53550299.99999999,8691420.0,17168108.570358004,17168108.570358004,14.323076923076924,70,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,160,360585,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8775995000.0,5120995000.0,74,98,9,391899999.99999994,0.0,120000000.0,4099999.9999999995,49412699.99999999,8775995.0,16878589.010488257,16878589.010488257,13.420289855072463,50,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,161,360586,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8700360000.0,5045360000.0,61,152,13,608900000.0,0.0,120000000.0,4099999.9999999995,58135099.99999999,8700360.0,17476131.48469649,17476131.48469649,16.189655172413794,52,30
h3_prize_structure,structure_aggressive,Vyšší skewness,Vyšší podíl jackpotu na úkor nižších tříd.,162,360587,1000,10000000,0.5,120000000.0,0.41,0.0475,0.17300000000000001,20000000000.0,10000000000.0,8778155000.0,5123155000.0,85,84,8,335599999.99999994,0.0,120000000.0,20499999.999999996,46860499.99999999,8778155.0,16684527.000217145,16684527.000217145,11.582278481012658,64,30
