experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,16,250441,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22624650000.0,12237150000.0,155,244,33,1899000000.0,0.0,90000000.0,36000000.0,50256000.0,22624650.0,21107179.8181922,21107179.8181922,6.450381679389313,32,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,17,250442,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22568900000.0,12181400000.0,175,181,25,1404000000.0,0.0,90000000.0,72000000.0,44874000.0,22568900.0,20573836.972961556,20573836.972961556,5.612244897959184,41,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,18,250443,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22518387500.0,12130887500.0,158,224,33,1719000000.0,0.0,90000000.0,90000000.0,48519000.0,22518387.5,21095173.015552487,21095173.015552487,5.929577464788732,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,19,250444,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22591200000.0,12203700000.0,166,207,33,1566000000.0,0.0,90000000.0,9000000.0,47655000.0,22591200.0,21410929.51181709,21410929.51181709,5.873239436619718,37,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,20,250445,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22683500000.0,12296000000.0,181,185,28,1413000000.0,0.0,90000000.0,9000000.0,44721000.0,22683500.0,20771061.66641465,20771061.66641465,5.352941176470588,31,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,21,250446,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22634050000.0,12246550000.0,162,194,30,1476000000.0,0.0,90000000.0,18000000.0,46503000.0,22634050.0,21281940.656281795,21281940.656281795,5.700680272108843,34,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,22,250447,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22625587500.0,12238087500.0,161,230,33,1773000000.0,0.0,90000000.0,27000000.0,49410000.0,22625587.5,21193200.482373912,21193200.482373912,6.606299212598425,31,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,23,250448,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22567287500.0,12179787500.0,179,155,30,1125000000.0,0.0,90000000.0,72000000.0,43542000.0,22567287.5,21368806.969472904,21368806.969472904,5.510067114093959,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,24,250449,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22613900000.0,12226400000.0,179,141,29,1008000000.0,0.0,90000000.0,9000000.0,43083000.0,22613900.0,21568457.102676585,21568457.102676585,5.662068965517242,24,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,25,250450,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22644400000.0,12256900000.0,164,231,32,1791000000.0,0.0,90000000.0,18000000.0,48717000.0,22644400.0,20990973.980261136,20990973.980261136,6.102189781021898,29,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,26,250451,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22646950000.0,12259450000.0,164,221,30,1719000000.0,0.0,90000000.0,0.0,47853000.0,22646950.0,20813274.326676715,20813274.326676715,6.014388489208633,40,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,27,250452,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22557750000.0,12170250000.0,139,233,36,1773000000.0,0.0,90000000.0,54000000.0,50481000.0,22557750.0,21612823.217652526,21612823.217652526,6.888,44,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,28,250453,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22606650000.0,12219150000.0,157,223,30,1737000000.0,0.0,90000000.0,18000000.0,48735000.0,22606650.0,21053441.60173106,21053441.60173106,6.338345864661654,35,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,29,250454,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22641437500.0,12253937500.0,167,204,27,1593000000.0,0.0,90000000.0,0.0,47025000.0,22641437.5,20918084.564315245,20918084.564315245,5.907801418439717,36,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,30,250455,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22622900000.0,12235400000.0,158,199,38,1449000000.0,0.0,90000000.0,9000000.0,47601000.0,22622900.0,22114531.66110465,22114531.66110465,6.330827067669173,24,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,31,250456,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22594287500.0,12206787500.0,162,215,37,1602000000.0,0.0,90000000.0,54000000.0,48465000.0,22594287.5,21513744.99648059,21513744.99648059,6.072463768115942,27,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,32,250457,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22616050000.0,12228550000.0,169,144,32,1008000000.0,0.0,90000000.0,0.0,43758000.0,22616050.0,22147184.920379836,22147184.920379836,5.577181208053691,20,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,33,250458,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22635800000.0,12248300000.0,154,214,33,1629000000.0,0.0,90000000.0,9000000.0,48501000.0,22635800.0,21480341.905100115,21480341.905100115,6.313432835820896,28,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,34,250459,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22552237500.0,12164737500.0,157,201,35,1494000000.0,0.0,90000000.0,27000000.0,47637000.0,22552237.5,21694194.906698976,21694194.906698976,6.338345864661654,47,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,35,250460,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22612687500.0,12225187500.0,172,181,30,1359000000.0,0.0,90000000.0,0.0,44775000.0,22612687.5,21002792.205647174,21002792.205647174,5.557046979865772,26,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,36,250461,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22550500000.0,12163000000.0,157,200,34,1494000000.0,0.0,90000000.0,90000000.0,48024000.0,22550500.0,21551943.642047692,21551943.642047692,6.386363636363637,41,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,37,250462,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22585287500.0,12197787500.0,170,204,29,1575000000.0,0.0,90000000.0,54000000.0,46215000.0,22585287.5,20573954.77171547,20573954.77171547,5.64625850340136,32,10
