experiment,scenario,label_cs,description,repeat,tickets_until_jackpot,spent_until_jackpot_eur,assumed_jackpot_payout_eur,approx_net_result_eur
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,28,37683929,75367858.0,120000000.0,44632142.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,29,2803366,5606732.0,120000000.0,114393268.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,30,16709094,33418188.0,120000000.0,86581812.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,31,238078137,476156274.0,120000000.0,-356156274.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,32,134680117,269360234.0,120000000.0,-149360234.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,33,85512533,171025066.0,120000000.0,-51025066.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,34,34376968,68753936.0,120000000.0,51246064.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,35,249555920,499111840.0,120000000.0,-379111840.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,36,7621268,15242536.0,120000000.0,104757464.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,37,44408805,88817610.0,120000000.0,31182390.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,38,17722278,35444556.0,120000000.0,84555444.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,39,25703855,51407710.0,120000000.0,68592290.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,40,249289752,498579504.0,120000000.0,-378579504.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,41,16792336,33584672.0,120000000.0,86415328.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,42,409329951,818659902.0,120000000.0,-698659902.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,43,67776457,135552914.0,120000000.0,-15552914.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,44,35097049,70194098.0,120000000.0,49805902.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,45,92742105,185484210.0,120000000.0,-65484210.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,46,104029740,208059480.0,120000000.0,-88059480.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,47,159028338,318056676.0,120000000.0,-198056676.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,48,119202422,238404844.0,120000000.0,-118404844.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,49,67634066,135268132.0,120000000.0,-15268132.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,50,57919754,115839508.0,120000000.0,4160492.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,51,88968177,177936354.0,120000000.0,-57936354.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,52,57770807,115541614.0,120000000.0,4458386.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,53,103932112,207864224.0,120000000.0,-87864224.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,54,9130586,18261172.0,120000000.0,101738828.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,55,1398046,2796092.0,120000000.0,117203908.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,56,27842067,55684134.0,120000000.0,64315866.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,57,198841186,397682372.0,120000000.0,-277682372.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,58,169349995,338699990.0,120000000.0,-218699990.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,59,59027036,118054072.0,120000000.0,1945928.0
jackpot_waiting_time,jackpot_waiting_time,Jackpot,Simulace počtu tiketů do prvního jackpotu při pravděpodobnosti 1 : 139 838 160 a s předpokladem výplaty 120 mil. €.,60,37567105,75134210.0,120000000.0,44865790.0
